ActivityDate,ActivityName,ElapsedTime,MovingTime,Distance,MaxSpeed,ElevationGain,Class
"Nov 27, 2016, 11:39:57 PM",Week 1 long run,4888,4766,18354.80078,6.300000191,345.9689941,1
"Nov 28, 2016, 3:09:54 PM",Morning Run,3455,3323,12886.59961,5.599999905,116.3600006,0
"Nov 29, 2016, 3:39:25 PM",Morning Run,3596,3391,12918.2998,5.199999809,53.45859909,0
"Nov 30, 2016, 3:05:22 PM",Morning Run,2741,2455,9670.299805,6.900000095,20.38570023,0
"Dec 1, 2016, 3:37:29 PM",Morning Run,3678,3328,12914.7998,5.599999905,186.128006,0
"Dec 2, 2016, 3:05:46 PM",Morning Run,3475,3323,12913.7998,5,180.4309998,0
"Dec 4, 2016, 12:40:08 AM",Accidentally slept in,4174,4089,16102.5,5.300000191,166.9429932,0
"Dec 5, 2016, 3:04:44 PM",Morning Run,3961,3841,14553.90039,5.300000191,216.8370056,0
"Dec 6, 2016, 3:40:23 PM",Gonna drop the LD guys -gt,4054,3671,14632.09961,5.800000191,97.70159912,0
"Dec 7, 2016, 3:05:45 PM",Morning Run,3919,3554,13201.7998,6.099999905,41.63349915,0
"Dec 8, 2016, 3:40:01 PM",Morning Run,3535,3306,12918.7002,5.699999809,149.4279938,0
"Dec 9, 2016, 3:06:22 PM",Morning Run,3803,3765,14503.59961,5.400000095,26.00379944,0
"Dec 10, 2016, 3:09:26 PM",Week 3 long run,4988,4940,19322.69922,5.800000191,220.3480072,1
"Dec 11, 2016, 5:58:49 PM",Easy running ,1974,1946,6453.799805,4.800000191,26.49950027,0
"Dec 12, 2016, 3:04:01 PM",Believe in the process ,4459,4250,16151.7998,5.699999809,218.7400055,0
"Dec 13, 2016, 3:42:04 PM",Tri city run,4213,3781,14541.2002,5.5,55.18799973,0
"Dec 14, 2016, 3:05:15 PM",Easy 8 with Sam ,3713,3397,12886.40039,5.400000095,40.93809891,0
"Dec 15, 2016, 10:58:03 PM",Trying to get over this illness ,4469,4307,16156.2998,5.800000191,283.0249939,0
"Dec 16, 2016, 8:59:10 PM",Lunch Run,3972,3867,14516.59961,5.599999905,181.496994,0
"Dec 17, 2016, 3:11:09 PM",This cold got nothing on me,5950,5746,22541.40039,5.300000191,101.1529999,1
"Dec 18, 2016, 5:08:27 PM",Easy day,1993,1874,6453.899902,5.400000095,28.86269951,0
"Dec 19, 2016, 3:05:59 PM",Morning Run,3840,3593,13027,5.099999905,139.9389954,0
"Dec 20, 2016, 3:08:42 PM",Warm up,923,918,3160.300049,5,0,0
"Dec 20, 2016, 3:44:35 PM",First steady state ,2861,2861,12884.7998,6.300000191,0,2
"Dec 20, 2016, 4:37:16 PM",Cooldown ,554,540,1777.800049,4.300000191,0,0
"Dec 21, 2016, 5:27:55 PM",Morning Run,3626,3532,12897.5,5.599999905,128.8560028,0
"Dec 22, 2016, 9:47:37 PM",Waiting for the rain to go away,4907,4551,17734.40039,6,65.30770111,0
"Dec 23, 2016, 5:50:22 PM",More easy 8's,3554,3461,12902.5,5.400000095,177.7870026,0
"Dec 24, 2016, 4:56:49 PM",Morning Run,3519,3449,12901.7002,4.699999809,175.0789948,0
